#Table1
u,g,r,i,z,redshift,class
21.19741,19.65799,18.33916,17.73132,17.31156,0.1653405,GALAXY
20.33587,19.2508,18.86774,18.7108,18.61204,0.0006643924,STAR
21.0184,18.85107,17.70889,17.12109,16.67537,0.08295874,GALAXY
20.37586,18.36344,17.27271,16.75497,16.33305,0.08232159,GALAXY
21.59543,19.01165,17.69961,17.13699,16.71766,0.1654301,GALAXY
20.69693,18.00692,16.49571,15.70788,15.26716,0.0002026054,STAR
20.39582,18.50271,17.33616,16.70716,16.20381,0.08173548,GALAXY
21.28426,19.4671,18.74214,18.32163,18.13092,0.0819518,GALAXY
22.44247,20.96329,20.00247,19.47096,19.38536,0.2358172,GALAXY
22.30926,20.44593,19.1405,18.58247,18.28402,0.240065,GALAXY
19.93018,18.52524,17.71631,17.23098,16.9971,0.1506906,GALAXY
19.33956,19.10073,18.66402,18.58816,18.6467,1.161747,QSO
23.9199,20.93173,19.40141,18.01012,17.23484,5.016178E-05,STAR
22.53588,20.58376,18.9942,18.41136,18.03853,0.2485852,GALAXY
20.61068,18.94984,18.05605,17.6171,17.26695,0.1692383,GALAXY
21.33719,20.14786,19.08738,18.57124,18.2515,0.2234489,GALAXY
23.31299,20.93886,19.71641,19.01187,18.70278,0.2402734,GALAXY
22.85555,21.38138,20.16267,19.66467,19.37187,0.3810692,GALAXY
26.32709,21.1452,19.27499,18.50337,17.99817,0.3671646,GALAXY
18.53223,17.24661,16.77493,16.59758,16.50323,4.655017E-05,STAR
17.0049,15.36086,14.49837,14.39811,13.7894,0.0006135278,STAR
21.96671,19.09438,17.6361,16.9917,16.56875,0.0002495858,STAR
21.22607,19.2852,17.83544,17.1959,16.75728,0.1706498,GALAXY
21.5316,20.27097,19.21834,18.65755,18.38894,0.1985118,GALAXY
22.33375,20.68907,19.1437,18.54177,18.01597,0.3231319,GALAXY
23.17228,20.57825,19.14963,18.55397,18.15417,-5.492099E-05,STAR
21.90226,19.58863,18.29155,17.67697,17.23689,0.1698315,GALAXY
22.00985,20.54013,19.79456,19.47281,19.34925,-0.0006849247,STAR
23.84005,21.06144,19.41521,18.68657,18.18893,-4.827339E-05,STAR
24.16281,22.07916,20.40646,19.02949,18.18834,8.113415E-05,STAR
23.21402,21.31877,19.60581,18.90995,18.45097,0.2473035,GALAXY
22.43977,20.52178,19.15025,18.4628,17.96334,0.1706802,GALAXY
23.64763,21.40003,19.98352,19.30569,18.86954,0.3258542,GALAXY
22.74771,21.45155,19.34433,18.5771,18.09097,0.3684698,GALAXY
23.16149,21.59719,19.54335,18.7386,18.31149,0.3686946,GALAXY
23.53078,21.42155,19.86593,19.12488,18.55572,0.2162786,GALAXY
24.50392,21.8972,21.1263,20.79458,20.36792,6.449718,QSO
26.38953,20.94737,19.11162,18.36302,17.89128,0.2698921,GALAXY
23.72132,20.87369,20.17279,19.78598,20.09772,0.05351376,GALAXY
22.81635,20.2268,18.74288,17.21303,16.4029,-0.0003783596,STAR
22.41751,20.27272,18.49207,17.76722,17.2261,0.246883,GALAXY
22.15228,20.73248,19.45131,18.787,18.33272,0.1981291,GALAXY
23.17059,20.77441,19.43094,18.65598,18.13382,0.1498954,GALAXY
22.99731,20.74435,19.19653,18.51557,18.01326,0.1835155,GALAXY
21.63556,20.21417,18.81125,18.22658,17.75514,0.2121624,GALAXY
22.26302,20.85619,19.93442,19.43712,19.12727,0.1829526,GALAXY
21.45873,20.18632,19.18346,18.67156,18.38251,0.2097104,GALAXY
24.00592,20.54317,19.36835,18.71489,18.20515,0.1688475,GALAXY
22.23869,19.18643,18.43634,18.18148,17.84661,0.06234159,GALAXY
22.27223,20.70256,18.9009,18.18161,17.72984,0.2749264,GALAXY
22.18452,20.8227,19.6452,19.0133,18.47615,0.2688016,GALAXY
22.31945,19.96884,19.07325,18.56721,18.40355,0.140396,GALAXY
24.13013,22.01613,20.10822,19.20466,18.73793,0.4112562,GALAXY
20.27496,19.82026,19.28656,19.07273,18.48734,0.3295562,QSO
23.22584,20.86104,19.08917,17.84438,17.26167,1.263038E-05,STAR
23.66079,21.41805,20.20819,19.59889,19.16772,0.2154126,GALAXY
23.43689,22.50598,20.85043,20.0553,19.59501,0.317386,GALAXY
19.4573,18.126,17.62662,17.45301,17.32834,9.134632E-05,STAR
21.14882,19.38595,18.33498,17.90789,17.55046,0.1323461,GALAXY
24.58783,22.48932,20.72939,19.69421,19.20207,0.4615514,GALAXY
21.34791,21.00733,20.58221,20.06521,19.9184,0.583263,GALAXY
19.25001,18.32965,17.98234,17.86072,17.78243,0.0001035243,STAR
23.02662,21.47346,20.00964,19.57097,19.30149,0.5916583,GALAXY
22.94494,23.79955,21.62331,20.53627,19.82931,0.7679625,GALAXY
18.41061,17.24516,17.35439,17.45092,17.5481,0.0003989428,STAR
19.70997,17.79713,17.0113,16.7352,16.59122,0.0001675098,STAR
21.52482,19.137,17.77446,17.22886,16.89281,0.2178384,GALAXY
20.87716,18.34473,17.20554,16.76624,16.51452,4.691334E-05,STAR
19.72747,17.1829,16.09258,15.68735,15.47521,9.672801E-05,STAR
24.88171,24.87792,21.81944,20.78988,19.93387,0.812097,GALAXY
21.52291,18.60571,17.45386,17.04536,16.68432,0,GALAXY
19.15436,18.23266,17.97747,17.89799,17.85765,0.0007481935,STAR
23.95843,21.32254,19.64013,18.06835,17.2652,-7.858648E-05,STAR
18.40755,16.80093,16.25361,16.07363,15.99621,-2.696957E-05,STAR
20.08746,18.24578,17.40633,17.00751,16.77422,-9.853746E-05,STAR
20.30934,20.02516,19.7519,19.8051,19.7398,1.096189,QSO
